Actual Time;Measured Time;Delta;EMA;PPM
73.000620066;73;-0.0006200659999961999;-0.00030466361703394005;6.098947097269053
74.000287084;74;-0.00028708400000709844;-0.0003029056553312559;5.95681356787334
75.000012571;75;-1.2570999999184096e-05;-0.00027387218979804873;5.850045218921709
75.999760861;76;0.0002391390000013871;-0.00022257107081810517;5.7980891066576055
77.000582353;77;-0.0005823529999986476;-0.00025854926373615944;5.708336884501143
78.00036134;78;-0.00036133999999776734;-0.00026882833736232024;5.609748511500591
79.000220721;79;-0.00022072100000514183;-0.00026401760362660244;5.517703207696118
80.000671811;80;-0.0006718110000036859;-0.0003047969432643108;5.38951949172945
81.000073671;81;-7.367099999555649e-05;-0.0002816843489374354;5.2866139943680315
82.000387651;82;-0.00038765099999693575;-0.00029228101404338546;5.177052141310028
